partition,gap,total_resources,imbalance,drones,batteries,relay_drones,relay_modules
"{B01,B04,B05,B07,B08,B09,B10,B12}|{B02,B03,B06}|{B11}",8,37,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B04,B05,B07,B08,B10,B11,B12}|{B02,B03,B06}|{B09}",8,37,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B04,B05,B07,B09,B10,B11}|{B02,B03,B06,B08}|{B12}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B09,B10,B12}|{B02,B03,B06,B11}|{B08}",8,37,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B04,B05,B07,B09,B11,B12}|{B02,B03,B06,B10}|{B08}",8,37,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B04,B05,B07,B08,B09,B10,B11}|{B02,B03,B12}|{B06}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B08,B09,B10,B11}|{B02,B03}|{B06,B12}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B09,B10,B11}|{B02,B03,B08,B12}|{B06}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B09,B10,B11}|{B02,B03,B08}|{B06,B12}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B09,B10,B11,B12}|{B02,B03}|{B06,B08}",8,37,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B05,B07,B08,B09,B10,B11}|{B02,B03,B04,B06}|{B12}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,5
"{B01,B05,B07,B08,B09,B10,B12}|{B02,B03,B04,B06}|{B11}",8,37,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,5
"{B01,B05,B07,B08,B10,B11,B12}|{B02,B03,B04,B06}|{B09}",8,37,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,5
"{B01,B05,B07,B09,B10,B11}|{B02,B03,B04,B06,B08}|{B12}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,5
"{B01,B04,B05,B06,B07,B08,B09,B10,B11,B12}|{B02}|{B03}",8,37,1.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B04,B05,B06,B07,B09,B10,B11,B12}|{B02,B08}|{B03}",8,37,1.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B04,B05,B07,B08,B09,B10,B11}|{B02,B06,B12}|{B03}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B08,B09,B10,B11}|{B02,B06}|{B03,B12}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B09,B10,B11}|{B02,B06,B08,B12}|{B03}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B09,B10,B11}|{B02,B06,B08}|{B03,B12}",8,37,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,5
"{B01,B04,B05,B07,B09,B10,B11,B12}|{B02,B06}|{B03,B08}",8,37,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B04,B05,B07,B08,B09,B10,B11,B12}|{B02}|{B03,B06}",8,37,1.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B04,B05,B07,B09,B10,B11,B12}|{B02,B08}|{B03,B06}",8,37,1.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,5
"{B01,B05,B07,B08,B09,B10,B11,B12}|{B02}|{B03,B04,B06}",8,37,1.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,5
"{B01,B05,B07,B09,B10,B11,B12}|{B02,B08}|{B03,B04,B06}",8,37,1.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,5
"{B01,B02,B05,B08,B09,B11,B12}|{B03,B04,B06}|{B07,B10}",8,38,0.8,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 4, ""A"": 6}",6,6
"{B01,B05,B07,B08,B09,B10,B12}|{B02,B11}|{B03,B04,B06}",8,38,0.8,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 4, ""A"": 6}",6,6
"{B01,B02,B04,B05,B06,B08,B09,B11}|{B03,B12}|{B07,B10}",8,38,0.81913,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 7}",5,6
"{B01,B02,B04,B05,B08,B09,B11,B12}|{B03,B06}|{B07,B10}",8,38,0.84322,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B03,B04,B05,B09,B11,B12}|{B02,B06,B08}|{B07,B10}",8,38,0.879562,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B04,B05,B07,B08,B09,B10,B12}|{B02,B11}|{B03,B06}",8,38,0.899095,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B05,B08,B09}|{B02,B03,B04,B06,B07,B10,B11}|{B12}",8,38,0.907726,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 4}",5,6
"{B01,B02,B04,B05,B06,B08,B09,B10,B12}|{B03}|{B07,B11}",8,38,0.910469,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B04,B05,B08,B09,B11,B12}|{B02,B06}|{B07,B10}",8,38,0.916855,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B04,B05,B07,B08,B09,B10}|{B02,B06,B11}|{B03,B12}",8,38,0.931298,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 7}",5,6
"{B01,B02,B04,B05,B06,B09,B11,B12}|{B03}|{B07,B08,B10}",8,38,0.936197,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",5,6
"{B01,B03,B04,B05,B06,B09,B10,B12}|{B02,B08}|{B07,B11}",8,38,0.941967,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B03,B04,B05,B09,B11,B12}|{B02,B06}|{B07,B08,B10}",8,38,0.945704,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B08,B09,B11}|{B06,B12}|{B07,B10}",8,38,0.951541,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B02,B05,B06,B08,B09,B11,B12}|{B03}|{B04,B07,B10}",8,38,0.953417,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B02,B04,B05,B08,B09,B11,B12}|{B03}|{B06,B07,B10}",8,38,0.954969,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B05,B07,B08,B11}|{B02,B03,B04,B06,B09,B10}|{B12}",8,38,0.956056,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B05,B08,B09,B10,B12}|{B04,B06}|{B07,B11}",8,38,0.958105,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",6,6
"{B01,B02,B04,B05,B06,B08,B09,B11}|{B03}|{B07,B10,B12}",8,38,0.963804,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B09,B11}|{B07,B10}|{B08,B12}",8,38,0.971328,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B04,B05,B06,B07,B08,B09,B10,B12}|{B02,B11}|{B03}",8,38,0.974158,"{""C"": 4, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 6}",5,6
"{B01,B05,B07,B09,B10}|{B02,B03,B04,B06,B08,B11}|{B12}",8,38,0.97422,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B05,B08,B11,B12}|{B02,B03,B04,B06,B09,B10}|{B07}",8,38,0.974356,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B11,B12}|{B04,B06}|{B07,B08,B10}",8,38,0.974546,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",6,6
"{B01,B03,B04,B05,B06,B08,B09,B10,B12}|{B02}|{B07,B11}",8,38,0.974678,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B05,B07,B09,B11}|{B02,B03,B04,B06,B08,B10}|{B12}",8,38,0.975314,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B05,B09,B10,B12}|{B02,B03,B04,B06,B08,B11}|{B07}",8,38,0.975314,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B09,B11,B12}|{B02,B03,B04,B06,B08,B10}|{B07}",8,38,0.975314,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B02,B03,B05,B06,B08,B09,B11}|{B04,B07,B10}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B05,B06,B08,B09,B10,B12}|{B04,B11}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B06,B08,B09,B11,B12}|{B04,B10}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B06,B08,B10,B11,B12}|{B04,B09}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B09,B11}|{B04,B06,B07,B10}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B05,B08,B09,B10,B12}|{B04,B06,B11}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B09,B11,B12}|{B04,B06,B10}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B10,B11,B12}|{B04,B06,B09}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B07,B08,B09,B10,B12}|{B04,B11}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B07,B08,B09,B11,B12}|{B04,B10}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B07,B08,B10,B11,B12}|{B04,B09}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B09,B10,B12}|{B04,B07,B11}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B11,B12}|{B04,B07,B08,B10}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B05,B08,B09,B11}|{B03,B04,B06,B07,B10}|{B12}",8,38,0.98087,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B05,B08,B09,B11,B12}|{B03}|{B04,B06,B07,B10}",8,38,0.98087,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B07,B08,B09,B10,B12}|{B02,B04,B11}|{B06}",8,38,0.98087,"{""C"": 5, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 4, ""A"": 6}",5,6
"{B01,B05,B07,B08,B09,B11}|{B02,B03,B04,B06,B10}|{B12}",8,38,0.98087,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B05,B07,B08,B10,B11}|{B02,B03,B04,B06,B09}|{B12}",8,38,0.98087,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B05,B08,B09,B10,B12}|{B02,B03,B04,B06,B11}|{B07}",8,38,0.98087,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B08,B09,B11,B12}|{B02,B03,B04,B06,B10}|{B07}",8,38,0.98087,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B09,B10,B12}|{B02,B03,B04,B06,B11}|{B07,B08}",8,38,0.98087,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B09,B11,B12}|{B02,B03,B04,B06,B10}|{B07,B08}",8,38,0.98087,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B07,B08,B09,B10,B12}|{B02,B03,B04,B11}|{B06}",8,38,0.98087,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B05,B07,B08,B09,B10,B12}|{B02,B04,B06,B11}|{B03}",8,38,0.98087,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B03,B04,B05,B06,B09,B10,B12}|{B02}|{B07,B08,B11}",8,38,0.98723,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B05,B06,B08,B09,B12}|{B04,B07,B10}|{B11}",8,38,0.988614,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",5,6
"{B01,B02,B03,B05,B06,B08,B11,B12}|{B04,B07,B10}|{B09}",8,38,0.988614,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B09,B12}|{B04,B06,B07,B10}|{B11}",8,38,0.988614,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",5,6
"{B01,B02,B03,B05,B08,B11,B12}|{B04,B06,B07,B10}|{B09}",8,38,0.988614,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B05,B07,B08,B09,B12}|{B02,B03,B04,B06,B10}|{B11}",8,38,0.988614,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 5}",5,6
"{B01,B05,B07,B08,B09,B12}|{B02,B03,B04,B06,B11}|{B10}",8,38,0.988614,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 5}",5,6
"{B01,B05,B07,B08,B10,B12}|{B02,B03,B04,B06,B11}|{B09}",8,38,0.988614,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B07,B08,B11,B12}|{B02,B03,B04,B06,B10}|{B09}",8,38,0.988614,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B03,B04,B05,B06,B08,B09,B12}|{B02}|{B07,B10,B11}",8,38,0.989815,"{""C"": 3, ""A"": 4, ""B"": 5}","{""C"": 4, ""A"": 6, ""B"": 5}",5,6
"{B01,B02,B03,B04,B05,B09,B11,B12}|{B06,B08}|{B07,B10}",8,38,0.99128,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B04,B05,B06,B08,B11,B12}|{B02}|{B07,B09,B10}",8,38,0.992038,"{""C"": 3, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B12}|{B07,B10}|{B09,B11}",8,38,0.992736,"{""C"": 2, ""A"": 4, ""B"": 5}","{""C"": 4, ""A"": 6, ""B"": 6}",5,6
"{B01,B02,B03,B05,B06,B08,B09,B10,B12}|{B04}|{B07,B11}",8,38,0.993254,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",6,6
"{B01,B02,B03,B05,B06,B09,B11,B12}|{B04}|{B07,B08,B10}",8,38,0.995812,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",6,6
"{B01,B02,B03,B04,B05,B06,B08,B10,B11}|{B07,B09}|{B12}",8,38,0.997781,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B12}|{B07,B11}|{B09,B10}",8,38,0.998806,"{""C"": 2, ""A"": 4, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B11,B12}|{B07,B10}|{B08,B09}",8,38,0.999773,"{""C"": 2, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B09,B10}|{B07}|{B11,B12}",8,38,1.0,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B09}|{B07,B10,B11}|{B12}",8,38,1.0,"{""C"": 2, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 5}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B09}|{B07,B10,B12}|{B11}",8,38,1.0,"{""C"": 2, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 5}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B09,B11}|{B07}|{B10,B12}",8,38,1.0,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B10,B12}|{B07,B09}|{B11}",8,38,1.0,"{""C"": 2, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B11}|{B07,B09,B10}|{B12}",8,38,1.0,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B12}|{B07,B09,B10}|{B11}",8,38,1.0,"{""C"": 2, ""A"": 4, ""B"": 5}","{""C"": 4, ""A"": 6, ""B"": 6}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B11,B12}|{B07,B09}|{B10}",8,38,1.0,"{""C"": 2, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B10,B11}|{B07}|{B09,B12}",8,38,1.0,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B11}|{B07,B10,B12}|{B09}",8,38,1.0,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B08,B12}|{B07,B10,B11}|{B09}",8,38,1.0,"{""C"": 2, ""A"": 4, ""B"": 5}","{""C"": 4, ""A"": 6, ""B"": 6}",5,6
"{B01,B02,B03,B04,B05,B06,B09,B10}|{B07,B08,B11}|{B12}",8,38,1.0,"{""C"": 2, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 6, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B09,B12}|{B07,B08,B11}|{B10}",8,38,1.0,"{""C"": 2, ""A"": 4, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B10,B12}|{B07,B08,B11}|{B09}",8,38,1.0,"{""C"": 2, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 7, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B06,B09,B12}|{B07,B11}|{B08,B10}",8,38,1.0,"{""C"": 2, ""A"": 4, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 7}",5,6
"{B01,B02,B03,B04,B05,B08,B09,B11}|{B06,B07,B10}|{B12}",8,38,1.0,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B08,B09,B12}|{B06,B07,B10}|{B11}",8,38,1.0,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",5,6
"{B01,B02,B03,B04,B05,B08,B11,B12}|{B06,B07,B10}|{B09}",8,38,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B08,B09,B10,B12}|{B06,B11}|{B07}",8,38,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B08,B09,B11,B12}|{B06,B10}|{B07}",8,38,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B08,B09,B11}|{B06}|{B07,B10,B12}",8,38,1.0,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B08,B09,B12}|{B06}|{B07,B10,B11}",8,38,1.0,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",5,6
"{B01,B02,B03,B04,B05,B08,B10,B11,B12}|{B06,B09}|{B07}",8,38,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B08,B10,B11,B12}|{B06}|{B07,B09}",8,38,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B08,B11,B12}|{B06}|{B07,B09,B10}",8,38,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B09,B10,B12}|{B06}|{B07,B08,B11}",8,38,1.0,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B09,B11,B12}|{B04}|{B06,B07,B10}",8,38,1.0,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 4, ""A"": 6}",6,6
"{B01,B02,B04,B05,B06,B08,B09,B11}|{B03,B07,B10}|{B12}",8,38,1.0,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 7}",5,6
"{B01,B02,B04,B05,B08,B09,B11,B12}|{B03,B07,B10}|{B06}",8,38,1.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B03,B04,B05,B06,B07,B08,B09,B11}|{B02,B10}|{B12}",8,38,1.0,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B04,B05,B06,B07,B08,B10,B11}|{B02,B09}|{B12}",8,38,1.0,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B04,B05,B06,B07,B08,B10,B12}|{B02,B09}|{B11}",8,38,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B03,B04,B05,B06,B07,B08,B11}|{B02,B09,B10}|{B12}",8,38,1.0,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B04,B05,B06,B07,B08,B12}|{B02,B09,B10}|{B11}",8,38,1.0,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 6}",5,6
"{B01,B03,B04,B05,B06,B07,B08,B11,B12}|{B02,B09}|{B10}",8,38,1.0,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B03,B04,B05,B06,B07,B08,B12}|{B02,B11}|{B09,B10}",8,38,1.0,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 6}",5,6
